"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                        Enterprises that acquiesce or transfer resources and business activities within the enterprise group, by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_src"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	53601
"                        Innovation active enterprises' expenditure on R&D and innovation by type, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_exp"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	57084
"                        Enterprises' expenditure by area, innovations status, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_expt"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	31754
"                        Enterprises by access to public funding, type of public funding and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_pub"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	121153
"                        Enterprises that use tax incentives or allowances for innovative activities and research and development (R&D) by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_txal"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	8643
"                        Enterprises by access to private funding, type of private funding and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_fin"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	58196
"                        Enterprises that obtained private funding by usage for R&D or other innovation activities, type of private funding, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_finrd"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	50461
"                        Enterprises that tried to obtain intra-group loans within the enterprise group by outcome, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_igl"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	3543
"                        Enterprises that obtained intra-group loans for R&D or other innovation activities within the enterprise group by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_iglrd"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	2085
"                    Innovation profiles"	"inn_cis13_ip"	"folder"	" "	" "	" "	" "	
"                        Enterprises, employed persons and turnover by innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_bas_ip"	"dataset"	"09.04.2025"	"16.01.2025"	"2022"	"2022"	21436
"                        Enterprises by age and innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_yreg_ip"	"dataset"	"14.04.2025"	"16.01.2025"	"2022"	"2022"	25098
"                        Turnover from new or significantly improved products, by innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_prodt_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	14435
"                        Enterprises that co-operated on business activities with other entities, by innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_co_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	30415
"                        Innovation-active enterprises that co-operated with other entities, by innovation profile, kind and location of co-operation partner, NACE Rev. 2 and size class (CIS2022)"	"inn_cis13_coop_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	202732
"                        Enterprises by access to public funding, innovation profile, type of public funding and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_pub_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	59153
"                        Enterprises by access to private funding, innovation profile, type of private funding and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_fin_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	25243
"                        Enterprises that obtained private funding by usage for R&D or other innovation activities, by innovation profile, type of private funding, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_finrd_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	24293
"                        Innovation-active enterprises that introduced innovations with environmental benefits within the enterprise, by innovation profile, type of contribution and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_eco_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	93642
"                        Innovation-active enterprise by type and importance of environmental benefits obtained during the consumption or use of a good or service by the end user, by innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_env_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	66480
"                        Enterprises by reason why they did not have any (or not more) innovation activities, by innovation profile, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_reas_ip"	"dataset"	"16.01.2025"	"16.01.2025"	"2022"	"2022"	22565
"                    Strategies and knowledge flows"	"inn_cis13_stkn"	"folder"	" "	" "	" "	" "	
"                        Enterprises by type of business strategy applied, importance of the strategy, NACE Rev.2 activity and size class (CIS2022)"	"inn_cis13_strat"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	428253
"                        Enterprises that applied for a patent, registered an industrial design, trade mark or used trade secrets, by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_ipr"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	24912
"                        Enterprises that licenced out, sold, exchanged intellectual property rights by type of transaction, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_iprout"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	13581
"                        Enterprises that purchased machinery, equipment or software by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_purmes"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	9971
"                        Enterprises that offered standardised, customised or co-created goods or services by type of goods and services, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_gs"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	13577
"                        Enterprises by reason why they did not have any (or not more) innovation activities, by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_reas"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	31863
"                        Enterprises that implemented fundamental changes to their business model, by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_bmod"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	16632
"                    Innovation and environment"	"inn_cis13_ienv"	"folder"	" "	" "	" "	" "	
"                        Innovation active enterprise by type and importance of environmental benefits obtained during the consumption or use of a good or service by the end user, by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_env"	"dataset"	"06.12.2024"	"06.12.2024"	"2022"	"2022"	77227
"                        Innovation active enterprises that introduced innovations with environmental benefits within the enterprise, by type of contribution and effect, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_eco"	"dataset"	"06.12.2024"	"06.12.2024"	"2022"	"2022"	109044
"                        Enterprises by type and importance of factors related to climate change, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_clim"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	76782
"                        Innovation active enterprises by type and importance of factors driving environmental innovations, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_envf"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	152373
"                    Regional business innovation"	"inn_cis13_r"	"folder"	" "	" "	" "	" "	
"                        Enterprises, employed persons and turnover by innovation status and NUTS 2 region (CIS2022)"	"inn_cis13_bas_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	1516
"                        Enterprises and employed persons by innovation capabilities and NUTS 2 region (CIS2022)"	"inn_cis13_bas_ip_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	389
"                        Turnover from new or significantly improved products by NUTS 2 region (CIS2022)"	"inn_cis13_prodt_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	331
"                        Innovation active enterprises' expenditure on R&D and innovation by type and NUTS 2 region (CIS2022)"	"inn_cis13_exp_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	369
"                        Enterprises that co-operated on innovation activities with other entities by NUTS 2 region (CIS2022)"	"inn_cis13_co_r"	"dataset"	"30.04.2025"	"30.04.2025"	"2022"	"2022"	194
"                Community innovation survey 2020 (CIS2020)"	"inn_cis12"	"folder"	" "	" "	" "	" "	
"                    Information on enterprises"	"inn_cis12_info"	"folder"	" "	" "	" "	" "	
"                        Enterprises, employed persons and turnover by type of enterprise, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_bas"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	218560
"                        Enterprises by year of registration and by type of enterprise, NACE Rev.2 activity and size class (2020)"	"inn_cis12_yreg"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	53480
"                        Enterprises by their belonging to an enterprise group, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_gen"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	50333
"                        Enterprises by percentage of employees with university education, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_educ"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	81088
"                        Enterprises by market place, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_mrk"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	75610
"                        Turnover of enterprises by market place, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_mrkt"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	73404
"                        Enterprises by type and importance of market conditions, NACE Rev.2 activity and size class (2020)"	"inn_cis12_cond"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	371940
"                    Innovation"	"inn_cis12_inno"	"folder"	" "	" "	" "	" "	
"                        Enterprises with innovation activities during 2018 and 2020 by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_inact"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	34994
"                        Enterprises with research and development (R&D) activities during 2018 and 2020 by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_inrd"	"dataset"	"09.04.2024"	"12.07.2023"	"2020"	"2020"	43678
"                        Enterprises that introduced new or improved processes by type of innovation, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_spec"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	58861
"                        Enterprises by hampering factor for innovation activities, level of importance of the hampering factor, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_ham"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	636148
"                        Enterprises that introduced an innovation by type of innovation, developer, NACE Rev.2 activity and size class (2020)"	"inn_cis12_prod"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	80618
"                        Product innovative enterprises that have introduced at least one new or significantly improved product by type of innovation, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_prodn"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	43751
"                        Turnover of enterprises from new or significantly improved products, by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_prodt"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	21433
"                        Enterprises that co-operated on business activities with other enterprises or organisations by field of activities, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_co"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	99962
"                        Innovative enterprises that co-operated on R&D and other innovation activities with other enterprises or organisations, by kind and location of co-operation partner, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_coop"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	317585
"                        Enterprises that acquiesce or transfer resources and business activities within the enterprise group, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_src"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	61942
"                        Enterprises and expenditure of enterprises on innovation activities by area of expenditure, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_exp"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	84486
"                        Enterprises and total expenditure of enterprises by area of expenditure, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_expt"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	115366
"                        Enterprises that received public funding for research and development (R&D) or other innovation activities, by source of funding, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_pub"	"dataset"	"12.07.2023"	"12.07.2023"	"2020"	"2020"	153287
"                        Enterprises that use tax incentives or allowances for innovative activities and research and development (R&D) by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_txal"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	23716
"                        Enterprises that tried to obtain funding for research and development (R&D) or other innovation activities, by type of finance and effect, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_fin"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	55238
"                        Enterprises that obtained debt or equity finance for R&D or other innovation activities by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_finrd"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	28440
"                        Enterprises that tried to obtain intra-group loans within the enterprise group by outcome, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_igl"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	4448
"                        Enterprises that obtained intra-group loans for R&D or other innovation activities within the enterprise group by NACE Rev. 2 activity and size class (2020)"	"inn_cis12_iglrd"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	2398
"                        Enterprises whose innovation activities have been affected by legislation or regulations by subject of the regulation/legislation, effect, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_legist"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	164387
"                    Strategies and knowledge flows"	"inn_cis12_stkn"	"folder"	" "	" "	" "	" "	
"                        Enterprises by type of business strategy applied, importance of the strategy, NACE Rev. 2 activity and size class (2020)"	"inn_cis12_strat"	"dataset"	"17.11.2022"	"17.11.2022"	"2020"	"2020"	632536
